MasterDataType,MainOrganizationId,OrganizationMainIndex,OrganizationId,GovernmentOfficeOrganizationAffiliation,OrganizationName,Alias,UnifiedSocialCreditCode,OrganizationOperationStatus,OrganizationOperationStatusCode,SuperiorSupervisoryOrganization,SuperiorSupervisoryOrganizationMainIndex,EconomicType,EconomicTypeCode,CivilAdministrativeDivisionDistrictCounty,CivilAdministrativeDivisionDistrictCountyCode,CivilAdministrativeDivisionStreet,CivilAdministrativeDivisionStreetCode,DetailedAddress,GeographicalLongitude,GeographicalLatitude,OrganizationPostcode,OrganizationContactTelephone,OrganizationEmail,OrganizationWebsiteDomain,MedicalInstitutionPracticingLicenseRegistrationNumber,HealthInstitutionOrganizationCode,HealthInstitutionCategory,HealthInstitutionCategoryCode,SecondaryOrganizationName,SecondaryOrganizationMainIndexNumber,SecondaryOrganizationType,SecondaryOrganizationTypeCode,ThreeLevelAccreditationGradeOfChineseHospitalsGrade,ThreeLevelAccreditationGradeOfChineseHospitalsGradeCode,OrganizationClassificationManagementType,OrganizationClassificationManagementTypeCode,SuperiorOrganization,SuperiorOrganizationMainIndexNumber,PersonInChargeName,PersonInChargeTelephone
组织机构主数据,,bb8a6e24-10be-487c-a6d2-311c54a7e6e7,500000037843,,渝北区卫生健康委员会,,,,,,,,,渝北区,500112,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,14a7d8b7-3a93-4146-8e21-ba282835d3c6,500000037844,,巴南区卫生健康委员会,,,,,,,,,巴南区,500113,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ce1669b7-a662-4a4b-91cd-577c93c8d7b9,500000037845,,黔江区卫生健康委员会,,,,,,,,,黔江区,500114,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,56191d61-5e60-4d1b-b949-e6c53696f62d,500000037846,,长寿区卫生健康委员会,,,,,,,,,长寿区,500115,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,2cd49355-19d4-4b5c-8f0b-8b5c0d5c478f,500000037874,,江津区卫生健康委员会,,,,,,,,,江津区,500116,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,68453cd7-6089-4acc-ae8c-a499eab74bff,500000037868,,合川区卫生健康委员会,,,,,,,,,合川区,500117,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,54bdbe6c-8b10-4348-94d8-20192f733407,500000037869,,永川区卫生健康委员会,,,,,,,,,永川区,500118,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,c578e731-2761-442c-86b6-b440366319ba,500000037870,,南川区卫生健康委员会,,,,,,,,,南川区,500119,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,93426df7-a578-4535-828b-8982b5b2ecda,500000037852,,璧山区卫生健康委员会,,,,,,,,,璧山区,500120,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,1a1f6850-62a4-4976-8aac-5b342cee2e69,500000058432,,万盛经开区卫生健康局,,,,,,,,,万盛经开区,500131,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ac2c7071-5c1b-4dcf-9947-66a38827eb3d,500000058444,,两江新区社发局,,,,,,,,,两江新区,500132,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7016f7c5-6795-4cf8-8396-d18ad409113e,500000065604,,高新区公共服务局,,,,,,,,,高新区,500133,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,2061f10d-68bc-462d-bdad-19fca9410ad4,500000037849,,铜梁区卫生健康委员会,,,,,,,,,铜梁区,500151,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4f7418ab-e4a0-4d04-b11b-f8993869e72e,500000037848,,潼南区卫生健康委员会,,,,,,,,,潼南区,500152,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,b050c372-1754-479c-a3a6-44020bc44bac,500000037851,,荣昌区卫生健康委员会,,,,,,,,,荣昌区,500153,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,a34f7bfa-b3e3-42cf-96f7-c98f2845f19f,500000037859,,开州区卫生健康委员会,,,,,,,,,开州区,500154,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,bb160878-da1f-4cce-ba64-dffd7e7af190,500000037853,,梁平区卫生健康委员会,,,,,,,,,梁平区,500155,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,d62594d9-c564-4d9f-aec5-0a475543eb72,500000037857,,武隆区卫生健康委员会,,,,,,,,,武隆区,500156,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,5ffbfd2b-1cc1-4073-9f44-2d836ff9bfb2,500000037854,,城口县卫生健康委员会,,,,,,,,,城口县,500229,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e5ca3b8a-7b38-49b1-9f4f-2e3a3060b50e,500000037855,,丰都县卫生健康委员会,,,,,,,,,丰都县,500230,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,eed6c087-4310-4e8e-8822-ac964e26df9e,500000037856,,垫江县卫生健康委员会,,,,,,,,,垫江县,500231,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,c57040ee-ac42-48b8-bfe8-bff106b1d384,500000037858,,忠县卫生健康委员会,,,,,,,,,忠县,500233,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,fbbf9ff7-3d33-4ac2-be70-52cc3edde828,500000037860,,云阳县卫生健康委员会,,,,,,,,,云阳县,500235,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,bd5292fe-085d-45cf-a1af-7051db303a8a,500000037861,,奉节县卫生健康委员会,,,,,,,,,奉节县,500236,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7c526722-f13a-497c-a777-e7f8895e607c,500000037862,,巫山县卫生健康委员会,,,,,,,,,巫山县,500237,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,b3af9293-3cb8-46e6-9794-7e93a0bddf23,500000037863,,巫溪县卫生健康委员会,,,,,,,,,巫溪县,500238,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,9bc1d011-6d4a-4543-b6ae-eb61c5028906,500000037864,,石柱土家族自治县卫生健康委员会,,,,,,,,,石柱土家族自治县,500240,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e38651f4-e966-490e-81c6-e80062b3730b,500000037865,,秀山土家族苗族自治县卫卫生健康委员会,,,,,,,,,秀山土家族苗族自治县,500241,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,d19ea2b4-2943-472a-9b49-ff0d9c0fc62f,500000037872,,酉阳土家族苗族自治县卫生健康委员会,,,,,,,,,酉阳土家族苗族自治县,500242,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,b19b020c-79fa-4288-914d-c4c6ee4e2ca7,500000037866,,彭水苗族土家族自治县卫生健康委员会,,,,,,,,,彭水苗族土家族自治县,500243,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,dd0e44b2-8571-4e87-b5a0-c8556e6c9793,500000000234,,重庆万州港口医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,3849f2f1-7a04-4e4e-8ee1-708887ab1355,500000000236,区级,重庆市万州区妇幼保健院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ff9bede2-83f5-408c-a7dc-d65e03528784,500000000238,区级,重庆三峡精神卫生中心,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,f853d662-6e4e-436b-a947-e7c00621e075,500000000240,区级,重庆大学附属三峡医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,39824730-bcc9-4aa6-a691-3a7d5fdcca23,500000000244,市级,重庆三峡医药高等专科学校附属人民医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,98098491-4e49-4c27-bae4-04c774fbf891,500000000246,市级,重庆三峡医药高等专科学校附属中医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,47feb16d-df80-48e8-a2d7-079f3904646f,500000000248,,重庆万州三峡外科医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,dd5411c9-36f6-42bb-884c-a2654bfe3371,500000000250,区级,重庆市万州区上海医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,82e18859-0618-49fa-af4a-04076c09fb70,500000000256,区级,重庆市万州区第一人民医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,5d0a1624-a17e-4ae3-9d39-3d36196e39ce,500000000258,市级,重庆三峡监狱医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,a7c9d7ff-1d52-4ac2-bcb7-3616604edc8b,500000000260,,重庆万州立民医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ad472942-4a3d-4795-9178-10a561101171,500000000264,,万州民康医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,75fdae1f-2beb-4f66-8d9a-aaaa4edeb9d9,500000000274,,重庆万州昌明医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,9a265357-2111-46e8-b4b0-6b1391ad3b45,500000000276,,重庆万州欣欣医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,628d737b-fc3c-4db5-9d86-918a02f0f49e,500000000278,,重庆万州爱尔阳光眼科医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,126b3ab2-b9e8-4430-b203-6eb1653830e4,500000000284,,万州怡康医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,f0a40cbb-591a-4162-bc8c-c6f681ede2ab,500000000286,,重庆万州川东骨科医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ea90b9a9-34c0-4063-8e27-c74055a8c60a,500000000290,,重庆万州友好医院,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,81ae01e7-fe61-4587-817f-0fe4db2fc731,500000000296,区级,重庆大学附属涪陵医院（重庆市涪陵中心医院）,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,c531d9d1-1490-488e-9ed9-8ec6dfba1eb3,500000000300,区级,重庆市涪陵区妇幼保健院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,67e6aaf9-1dba-4ada-ab7f-9bdc84b7015f,500000000302,区级,重庆市涪陵区马鞍街道社区卫生服务中心（重庆市涪陵区传染病医院）,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e3c5cacd-4077-4822-a1b8-8f41c2f94a98,500000000304,区级,重庆市涪陵区结核病防治所,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,cbd9396c-2480-48f6-9160-4f73787f93ce,500000000306,区级,重庆市涪陵区中医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,07ec573f-596f-420d-91ff-4eb59c277685,500000000308,区级,重庆市涪陵区人民医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,a46952f8-ccd3-4c7c-8943-5a45ac768b8f,500000000316,,重庆郭昌毕中医骨伤医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,9a2c005f-c9e6-4076-a8bd-4aa09bf2647d,500000000318,,涪陵陈氏眼耳鼻喉专科医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,223488ef-bea3-40df-bd8b-9be642289e6f,500000000320,,涪陵李志沧中医骨伤医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,35f46316-a1d5-4b5f-ac06-773f58f61e3a,500000000326,,涪陵极康医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,c44c3c67-b6d0-4c1e-b837-5e5afd5feb21,500000000330,,涪陵三峡医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7f69e31e-761a-4e51-8acb-177855a45f55,500000000332,,涪陵泰康医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,04ae0fc4-075f-4f8a-991c-4a51f08aa369,500000000334,,重庆和万家医院,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,659d02b0-97f7-4acd-b796-6ee5f8317d30,500000000340,市级,重庆市第四人民医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ed42e4d4-731c-44cb-81dd-902ff5d2591f,500000000344,市级,重庆医科大学附属口腔医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,18de7ea3-d4f1-4abc-9c93-a04f21b251a8,500000000346,市级,重庆市人民医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,3623600a-11f4-449e-b505-8634e79ce290,500000000348,市级,重庆市中医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,47b93739-744d-463f-9910-23e4f5238d29,500000000350,市级,重庆市妇幼保健院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,5e61f437-7df8-4f3f-87a4-b676d4be451d,500000000352,市级,重庆医科大学附属第一医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,c4e91270-2a75-40ec-8378-27f3649c565d,500000000354,市级,重庆医科大学附属儿童医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,0ef01ca1-c9cf-41ff-8485-493730c8f582,500000000356,市级,重庆医科大学附属第二医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,aee9302a-16ca-48ea-9a88-424c97d836db,500000000358,区级,重庆市渝中区上清寺街道社区卫生服务中心,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7b3107ca-d8d8-41fc-8e14-0c2b72ee1940,500000000360,区级,重庆市渝中区七星岗街道社区卫生服务中心,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,06889f40-f63f-4a9b-92fd-b7f74498c8fe,500000000364,区级,重庆市中医骨科医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,63267a78-0762-4567-94b5-6abacf23b25c,500000000366,区级,重庆牙科医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4fd1689c-8369-434f-b39e-879ede43e0d5,500000000368,区级,重庆市渝中区妇幼保健计划生育服务中心,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,b7725813-dc23-47ef-97d6-76ab105a5ef5,500000000372,,重庆华美整形外科医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,abbee513-b6d2-4431-a147-f0d61750686d,500000000374,,重庆红岭医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e5b64d64-7206-4574-92c5-10a7921d8ab1,500000000376,,重庆红楼医院大渡口分院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4d734357-aaec-4d7a-99c7-4bc1b3ccf900,500000000378,,重庆电信职工医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,5c28e57b-6d76-42fb-82e4-27a284abe081,500000000382,,国药重庆长航医院,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,9cc90094-c086-44d0-8a89-8bf0365b964f,500000000390,,重庆哈佛医疗科技中心哈佛眼科门诊部,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,860cb97e-4ca3-4e38-9ced-cdc8dcf099ec,500000000402,,重庆消防医院,,,,,,,,,两江新区,500132,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4f2c6a27-ff26-4631-8412-2990de629af5,500000000416,区级,重庆市大渡口区妇幼保健院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,2dd7d0b4-0b93-4294-aa7b-54215bde83b8,500000000418,区级,重庆市大渡口区人民医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,3dda4aab-a5e0-4e3c-b0c2-2094a3947e2a,500000000420,区级,重庆市大渡口区中医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,9cf9545e-a3b0-49f5-bf44-8db0802a2ba5,500000000422,,重庆新珹创新医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,73e2eb26-593d-479f-bf11-d6b0cbcf66df,500000000428,,重庆市大渡口明达医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,6d58b769-6fb6-462e-9ebf-6bcd47e11cae,500000000436,,重庆市大渡口长征医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,dc12fdbc-f566-4889-9f83-91d1b247717f,500000000438,,重钢总医院,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,94461a62-c6ce-4c24-a805-455b84e41e34,500000000440,市级,重庆市精神卫生中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,48c0166c-ad47-4198-9c54-d65009f7116f,500000000446,,重庆骑士医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,938f9c9c-baa9-4cdb-af25-091f1327f885,500000000448,区级,重庆市红十字会医院(江北区人民医院),,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,91a4f93b-a992-4c1c-95f3-8930f50e4717,500000000450,区级,重庆市江北区铁山坪社区卫生服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,3b91772f-f9b4-4774-8110-19b366d6f48c,500000000454,区级,重庆市江北区中医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,1b1e6dad-c766-404e-ad20-b5162b7f116b,500000000456,区级,重庆市江北区妇幼保健计划生育服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,cdf467e2-ace9-4a94-b630-43d709cbc8d4,500000000458,区级,重庆市江北区猫儿石社区卫生服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,81381507-9b48-4113-a668-9298054b709c,500000000460,区级,江北区石马河社区卫生服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,f675be99-de36-483c-843c-2a197e411137,500000000468,,重庆市江北区大庆村社区卫生服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,6cd67057-ce12-4c60-b4f4-e83ca68067b5,500000000472,,江北区寸滩黑石子社区卫生服务站,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4d0a4a3a-c325-4d3f-8a38-1fe90d6ff19a,500000000476,,重庆爱尔眼科医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,bb558b9f-77f0-4d92-98db-3c34b186d645,500000000478,,重庆江北黄泥磅医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,88ea2fe4-d455-4648-add4-e5a6fc92ff00,500000000484,区级,重庆市渝州监狱医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,183f0639-7048-431b-ad7d-d3769dccb042,500000000486,,重庆三博江陵医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,53ed70eb-7c4c-416d-b3fa-0f74a214cd3e,500000000490,,重庆望江医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,791303b4-c7db-4a78-b795-bce69d0b9993,500000000492,,重庆三博长安医院,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7b8625ef-1ef3-4048-9a5a-2386dc2a8885,500000000496,,江北区玉带山社区卫生服务中心,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,63dc71c1-f5d2-446a-a2c7-8743be5002ea,500000000502,,重庆大学医院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,5e49a7c7-3d7d-4769-9431-6065d61fff7d,500000000506,市级,重庆市第十一人民医院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,2d493c0b-e307-4a5d-8d4c-6e666c77a370,500000000508,市级,重庆大学附属肿瘤医院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e8947e85-3eb5-4d52-a743-6049a8c4129b,500000000510,市级,重庆市公共卫生医疗救治中心,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,ff42befa-87f1-49e8-bae5-317af79be129,500000000512,区级,重庆市沙坪坝区人民医院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,e2d3960e-7688-43b8-8058-5e929d89b5d6,500000000514,区级,重庆市沙坪坝区妇幼保健院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,6719630f-1a12-4b2f-96c0-1c9729490101,500000000516,区级,重庆市沙坪坝区中医院,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,0079a190-1830-47c7-a6de-bfca37746f93,500000000518,区级,重庆市沙坪坝区井口社区卫生服务中心,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,07b3b79d-3aa8-4652-909c-0d6a0381a87a,500000000520,区级,重庆市沙坪坝区沙坪坝街道社区卫生服务中心,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,928439b4-1e3b-4c3f-bf81-40a2833225f2,500000000522,区级,重庆市沙坪坝区磁器口街道社区卫生服务中心,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,a51b0283-74c2-4059-94e7-5a34cf6d7be5,500000000524,区级,重庆市沙坪坝区双碑街道社区卫生服务中心,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
